acc_mean_x,acc_std_x,acc_range_x,acc_rms_x,acc_sma_x,acc_mad_x,acc_zcr_x,acc_mean_y,acc_std_y,acc_range_y,acc_rms_y,acc_sma_y,acc_mad_y,acc_zcr_y,acc_mean_z,acc_std_z,acc_range_z,acc_rms_z,acc_sma_z,acc_mad_z,acc_zcr_z,gyro_mean_x,gyro_std_x,gyro_range_x,gyro_rms_x,gyro_sma_x,gyro_mad_x,gyro_zcr_x,gyro_mean_y,gyro_std_y,gyro_range_y,gyro_rms_y,gyro_sma_y,gyro_mad_y,gyro_zcr_y,gyro_mean_z,gyro_std_z,gyro_range_z,gyro_rms_z,gyro_sma_z,gyro_mad_z,gyro_zcr_z,acc_magnitude_mean,acc_magnitude_std,acc_dom_freq_x,acc_dom_freq_magnitude_x,acc_dom_freq_y,acc_dom_freq_magnitude_y,acc_dom_freq_z,acc_dom_freq_magnitude_z,gyro_dom_freq_x,gyro_dom_freq_magnitude_x,gyro_dom_freq_y,gyro_dom_freq_magnitude_y,gyro_dom_freq_z,gyro_dom_freq_magnitude_z,Label
9.058629704,0.669265653110991,9.783905,9.08322062720968,9.058629704,0.287457789952,23,-2.0632464,0.249655828817438,2.457648,2.07823589321425,2.0632464,0.1844459376,10,2.477654032,0.444345951004927,2.992752,2.51702662941091,2.477654032,0.297163567552,21,0.290926944,0.244770019376301,0.790061,0.379883139506233,0.322972792,0.21576870368,3,-0.059239932,0.0938615863199069,0.434334,0.110833780682191,0.089177532,0.075590181632,13,0.135044248,0.119880082110574,0.513207,0.180418120122054,0.141635456,0.097947952064,8,9.62908363017764,0.664755961668876,0,9.058629704,0,2.0632464,0,2.477654032,0,0.290926944,0.4,0.0796549896687973,0,0.135044248,2
10.103334824,0.657059230621389,10.006566,10.1245925592621,10.103334824,0.20836492128,18,-1.514251196,0.189739626577022,1.673547,1.52604515201138,1.514251196,0.150730493888,11,-1.583999072,0.446069303760274,3.122039,1.64536773171197,1.583999072,0.361977093184,15,0.28397972,0.231941474356416,0.725577,0.366368859904605,0.31280668,0.20396878336,3,-0.045341272,0.0934364187372342,0.541985,0.103688349565571,0.075084888,0.074538127872,10,-0.006737232,0.0559599471749704,0.275789,0.0562528214412042,0.044172,0.044196030848,17,10.3488858983754,0.66765784651201,0,10.103334824,0,1.514251196,0,1.583999072,0,0.28397972,0.4,0.100504814781106,0.4,0.0432249170312611,2
8.476134844,0.775968114494587,9.986215,8.51143818060875,8.476134844,0.47318925392,5,-3.088577672,0.319843644058541,3.453636,3.10502862994772,3.088577672,0.194487531712,16,3.052564068,0.790261507498427,5.731718,3.15280233863106,3.052564068,0.557555780864,12,0.312967632,0.199940442859317,1.159112,0.37116709801342,0.328970304,0.140960711936,14,-0.183028796,0.14778275940379,1.071445,0.235057280606877,0.20257434,0.10300658768,13,0.18383886,0.143907711365759,0.698132,0.233288058243597,0.184580684,0.10618978256,6,9.57168620096647,0.64063265027254,0,8.476134844,0,3.088577672,0,3.052564068,0,0.312967632,0,0.183028796,0,0.18383886,2
9.300333976,0.707003921015336,9.648633,9.32706101573769,9.300333976,0.360213279680001,18,-2.990353156,0.535714140871493,3.782839,3.03777116975027,2.990353156,0.461941951744,2,1.25367106,0.659118509660231,3.083732,1.41576501850383,1.263228724,0.51458881728,20,0.383815728,0.275888146869317,1.106885,0.472360376793846,0.419587784,0.226020023168,13,-0.143554012,0.15302918856335,0.747694,0.209599654540374,0.173069524,0.124558884288,14,0.067549332,0.113846970982196,0.462846,0.13218245165021,0.10875294,0.092623521216,13,9.88929343607849,0.655825603879881,0,9.300333976,0,2.990353156,0,1.25367106,0,0.383815728,0,0.143554012,0.4,0.0888297884539749,2
9.39382276,0.665596760996049,9.969456,9.41727949135787,9.39382276,0.30469433792,16,-3.386818576,0.327965658166777,3.572149,3.40259772729362,3.386818576,0.23203881888,6,0.397686508,0.724326262233282,3.69545,0.825048179604942,0.6781337,0.607129255936,9,0.473784172,0.265919832650296,0.990708,0.543048750670601,0.486103284,0.203884888832,7,-0.114651384,0.157207125265969,0.742897,0.194319746208583,0.141397792,0.13039701344,10,0.129846108,0.0931473036180737,0.508944,0.159692599244235,0.131342556,0.073081684864,13,10.0246501594328,0.672104821699393,0,9.39382276,0,3.386818576,0.4,0.655545703357557,0,0.473784172,0.4,0.171784325950307,0,0.129846108,2
1.1756823,0.486832960099308,2.020706,1.27211916747142,1.1756823,0.4122156552,11,-3.713239224,0.272268996526147,3.772065,3.72316792792047,3.713239224,0.139676569536,10,7.456147432,0.490463103945081,7.431602,7.47219689032792,7.456147432,0.183237117248,29,-0.002545236,0.0841787097171898,0.401293,0.0840487309557259,0.069644748,0.069583662336,9,-0.202125644,0.121062727432861,0.468708,0.235483195154143,0.207143652,0.095235627328,12,0.40095782,0.217476762464027,0.799121,0.455932156205438,0.411906228,0.17071413632,3,8.42740555055269,0.542221973696095,0,1.1756823,0,3.713239224,0,7.456147432,0.4,0.0660920420199032,0,0.202125644,0,0.40095782,2
2.442847088,0.648137834262629,3.64158,2.52703466872616,2.442847088,0.458934154624,15,-2.395810604,0.323711454451689,2.94008,2.41749423981922,2.395810604,0.234082010176,13,7.71644502,0.624267606094051,8.440758,7.74155507314423,7.71644502,0.32525926736,18,-0.143917452,0.122048816026661,0.470306,0.188543265140148,0.163185916,0.10023135776,10,0.119430648,0.116912580899192,0.548913,0.166965736149427,0.150917976,0.09133414464,14,-0.473349272,0.260015712231247,1.00483,0.539812255536704,0.509709672,0.187233487488,10,8.47430349180192,0.591130813285542,0,2.442847088,0,2.395810604,0,7.71644502,0,0.143917452,0,0.119430648,0,0.473349272,3
2.500011052,0.524621000037653,3.242946,2.55424774542877,2.500011052,0.376985208672,14,-2.657621356,0.375413641090058,3.126827,2.68390069342666,2.657621356,0.301028757504,3,7.648985996,0.531103051649649,7.905655,7.66732867018689,7.648985996,0.22675997216,24,-0.156512596,0.103242559413421,0.33068,0.187383517622538,0.156985836,0.091498722624,5,0.163914936,0.126341008089409,0.466843,0.206800165298851,0.16812292,0.108689233728,3,-0.367290804,0.347348455254183,1.035474,0.505045423969928,0.419425772,0.322918828768,1,8.49806530061041,0.54728203968239,0,2.500011052,0,2.657621356,0,7.648985996,0,0.156512596,0,0.163914936,0.4,0.425580981880783,3
3.852773344,1.78070314899798,6.852205,4.24288610856677,3.852773344,1.613280869248,1,-2.51476894,0.366825566705971,3.207033,2.54127636710223,2.51476894,0.28662742816,5,7.102279588,0.942732083892357,8.005013,7.16432579891461,7.102279588,0.787420351296,4,-0.27390428,0.247779903096655,1.01842,0.369016063958457,0.278474656,0.19711708992,8,0.081319028,0.142605235120547,0.803118,0.163913673579467,0.126775364,0.106643211776,18,-0.612112268,0.48038911006942,1.603038,0.777516579193717,0.622627972,0.41558703056,4,8.68164634951309,0.646855941983603,0,3.852773344,0,2.51476894,0,7.102279588,0.4,0.308183905300678,2,0.116409413374305,0.4,0.629716257740742,3
8.609314652,1.16466729278609,10.594342,8.68742325896557,8.609314652,0.856461981408,12,-2.155777516,0.410325347221616,3.721787,2.19432680371484,2.155777516,0.253774232128,17,3.033903656,1.79536805226513,7.310695,3.52349605522868,3.087706152,1.383490658752,16,-0.793479416,0.436304174052425,1.865504,0.905101911710548,0.82311004,0.330252647552,8,0.088781036,0.250496014977919,1.585452,0.265291034260436,0.180851308,0.183694547488,21,-0.369757176,0.237495717010261,0.917164,0.439202650196148,0.390257744,0.191030780352,10,9.5949999017647,0.799971346289576,0,8.609314652,0,2.155777516,0,3.033903656,0,0.793479416,2,0.135024554552935,0,0.369757176,3
8.48965728,1.05675721846524,9.71567,8.5549137697209,8.48965728,0.83321843392,1,-2.068374784,0.201945400159547,2.256535,2.0781706051126,2.068374784,0.141428169088,10,3.215274024,1.83379881631783,6.629545,3.69964239836,3.256904416,1.57245246016,6,-0.525470416,0.329242610221168,1.173234,0.619746925519538,0.533086968,0.285455055424,7,-0.078077768,0.177589208685687,0.84442,0.193669597999541,0.138255648,0.1398211616,13,-0.263906592,0.169021934152405,0.644306,0.31321052004806,0.267978136,0.148877330112,3,9.52367856084152,0.703007892710834,0,8.48965728,0,2.068374784,0,3.215274024,0,0.525470416,0.4,0.137611747337052,0,0.263906592,3
-0.617502924,0.492283800054275,2.117671,0.789103179302456,0.65427786,0.399539562176,8,-3.080537912,0.250957539301759,3.236961,3.09070244362921,3.080537912,0.146447119744,9,7.706240968,0.512228376644902,7.856573,7.72317798934367,7.706240968,0.183111996352,30,-0.01276034,0.0466677032194161,0.253672,0.0482906751101701,0.035134668,0.03557872528,11,0.15239948,0.0977731859224774,0.477234,0.180961208567361,0.163838176,0.07616072576,12,-0.432404664,0.302165495021383,1.200947,0.527174130515662,0.491120216,0.221305993216,3,8.3382642724438,0.545106563225617,0,0.617502924,0,3.080537912,0,7.706240968,1.2,0.0438855453412753,0,0.15239948,0,0.432404664,3
8.642958012,1.38355513787579,10.014946,8.75255911819277,8.642958012,1.18396034656,3,-1.98518112,0.31649229141561,2.343924,2.01015192964309,1.98518112,0.24889490976,9,2.769133684,2.24636380006592,7.231686,3.56287343036783,2.797643828,2.112476969056,2,-0.448493648,0.419818538670146,1.48313,0.61375008536524,0.47129432,0.358177479104,3,-0.1825439,0.355759061713321,1.819406,0.399224908263986,0.237025868,0.2632626792,12,-0.1052964,0.166185318230865,0.64404,0.196454629898285,0.146312424,0.1339498544,10,9.63181892440061,0.756586331886065,0,8.642958012,0,1.98518112,0.4,2.77209285943263,0.4,0.45675009086419,2.4,0.261950814033594,0.4,0.181639573212325,3
-0.465868532,0.47190915391615,2.588132,0.662450711871828,0.481402116,0.295672553664,7,0.126835312,0.109918537219491,0.442927,0.167693031624191,0.128243096,0.089958922368,14,8.158740276,0.195681311057311,2.606089,8.161077190054,8.158740276,0.0993243206720001,22,-0.022218708,0.0379210388603441,0.183593,0.043885352370512,0.039363956,0.027441570784,9,0.02977664,0.0424595065756657,0.280319,0.0517904117529876,0.041550008,0.02724256736,33,-0.168973452,0.275927020404186,0.895847,0.323083898062983,0.181663452,0.238756944032,1,8.1867573395162,0.217569322406115,0,0.465868532,0,0.126835312,0,8.158740276,0.4,0.0256470553114318,0,0.02977664,0.4,0.298037351722677,3
-0.95433836,0.244191675945341,1.599327,0.984963330114416,0.95433836,0.19641027072,9,0.706452344,0.181078707209047,1.02831,0.729200421389604,0.706452344,0.14489595616,6,8.066079916,0.512514143930385,7.875727,8.08228094513154,8.066079916,0.144198326208,14,-0.02363628,0.0319284642970983,0.160677,0.0396739569148327,0.034296888,0.02369066272,13,0.030150748,0.0856404070123998,0.525731,0.0906311745535497,0.058655836,0.057350767392,21,-0.279729132,0.270024206855761,0.708257,0.38841962783619,0.284067092,0.255345473888,3,8.15813711660754,0.520609465679045,0,0.95433836,0,0.706452344,0,8.066079916,2,0.0275907527494644,1.2,0.0593034011293007,0.4,0.335891744987688,3
